plane u v irot typecode econdidx captureblock captureblockidx slinkidx fedid zside isSiPM
25 5 1 3 MH-F1W-WXNT0001 0 0 0 0 0 -1 0
25 4 1 3 MH-F1W-WXNT0005 1 0 0 0 0 -1 0
25 3 1 3 MH-F1W-WXNT0006 2 0 0 0 0 -1 0
25 8 1 0 ML-F3W-WXIH0012 3 0 0 0 0 -1 0
25 5 2 3 MH-F1W-WXNT0023 0 1 1 0 0 -1 0
25 4 2 3 MH-F1W-WXNT0024 1 1 1 0 0 -1 0
25 3 2 3 MH-F1W-WXNT0007 2 1 1 0 0 -1 0
25 8 2 0 ML-F2W-WXIH0006 3 1 1 0 0 -1 0
25 9 2 0 ML-F3W-WXIH0005 4 1 1 0 0 -1 0
25 7 2 0 ML-F3W-WXIH0004 5 1 1 0 0 -1 0
25 6 2 0 ML-F2W-WXIH0001 6 1 1 0 0 -1 0
